Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0012764,0.064193,0.0010309,0,0,0,1.572,0.0029967,-4.155E-05,-9.9382E-06,0.0009617,-5.1855E-05,0.0035617,0,0,0,0,0,0,package://zbll/meshes/base_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbll/meshes/base_link.STL,,手掌-LN-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-0.010472,-0.0081073,0.012111,0,0,0,0.078567,6.715E-06,-1.8636E-07,1.537E-06,7.2255E-06,2.075E-07,6.6664E-06,0,0,0,0,0,0,package://zbll/meshes/Link1.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbll/meshes/Link1.STL,,拇指装配-1/拇指第三指节-1,坐标系1,基准轴1,J1,revolute,-0.027532,0.067569,0.010096,0,0,-0.087266,base_link,0,-1,0,0,0,-1.57,0,,,,,,,,
Link2,-0.0067157,0.019251,0.015942,0,0,0,0.049733,1.2811E-05,4.2455E-11,-4.0902E-09,8.0323E-06,-3.9977E-06,9.7679E-06,0,0,0,0,0,0,package://zbll/meshes/Link2.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbll/meshes/Link2.STL,,拇指装配-1/拇指第二指节-3,坐标系2,基准轴2,J2,revolute,-0.013879,-0.0032004,0.025824,0.05844,-0.7325,0,Link1,-1,0,0,0,0,-1.57,0,,,,,,,,
Link3,-0.0002505,0.0060661,-0.015097,0,0,0,0.040994,3.3969E-06,1.2128E-08,-1.6849E-08,3.1953E-06,7.1634E-07,2.4684E-06,0,0,0,0,0,0,package://zbll/meshes/Link3.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbll/meshes/Link3.STL,,拇指装配-1/拇指第一指节-1,坐标系3,基准轴3,J3,revolute,-0.00695,0.039849,0.029452,3.1416,0,3.1416,Link2,1,0,0,0,0,-1.57,0,,,,,,,,
Link4,0.0023023,0.014981,0.0014109,0,0,0,0.018019,1.7441E-06,5.1013E-10,2.3881E-10,1.188E-06,-2.221E-08,1.8872E-06,0,0,0,0,0,0,package://zbll/meshes/Link4.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbll/meshes/Link4.STL,,手指装配-1/手指第三指节0-1,坐标系4,基准轴4,J4,revolute,-0.032916,0.13648,0.0012043,0,0,0,base_link,1,0,0,0,0,-1.57,0,,,,,,,,
Link5,-9.8359E-05,0.029301,0.0075533,0,0,0,0.040846,3.0714E-06,-1.4845E-08,-4.8223E-09,9.2356E-07,-1.6267E-07,3.1354E-06,0,0,0,0,0,0,package://zbll/meshes/Link5.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbll/meshes/Link5.STL,,手指装配-1/手指第二指节0-1;手指装配-1/手指第一指节-1,坐标系5,基准轴5,J5,revolute,0.0023,0.030421,-0.002257,0,0,0,Link4,-1,0,0,0,0,-1.57,0,,,,,,,,
Link6,0.0023023,0.014981,0.0014109,0,0,0,0.018019,1.7441E-06,5.1013E-10,2.3881E-10,1.188E-06,-2.221E-08,1.8872E-06,0,0,0,0,0,0,package://zbll/meshes/Link6.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbll/meshes/Link6.STL,,手指装配-2/手指第三指节0-1,坐标系6,基准轴6,J6,revolute,-0.010916,0.13964,0.0012043,0,0,0,base_link,1,0,0,0,0,-1.57,0,,,,,,,,
Link7,-9.8359E-05,0.029301,0.0075533,0,0,0,0.040846,3.0714E-06,-1.4845E-08,-4.8223E-09,9.2356E-07,-1.6267E-07,3.1354E-06,0,0,0,0,0,0,package://zbll/meshes/Link7.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbll/meshes/Link7.STL,,手指装配-2/手指第二指节0-1;手指装配-2/手指第一指节-1,坐标系7,基准轴7,J7,revolute,0.0023,0.030421,-0.002257,0,0,0,Link6,-1,0,0,0,0,-1.57,0,,,,,,,,
Link8,0.0023023,0.014981,0.0014109,0,0,0,0.018019,1.7441E-06,5.1013E-10,2.3881E-10,1.188E-06,-2.221E-08,1.8872E-06,0,0,0,0,0,0,package://zbll/meshes/Link8.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbll/meshes/Link8.STL,,手指装配-3/手指第三指节0-1,坐标系8,基准轴8,J8,revolute,0.011084,0.13648,0.0012,0,0,0,base_link,1,0,0,0,0,-1.57,0,,,,,,,,
Link9,-9.8359E-05,0.029301,0.0075533,0,0,0,0.040846,3.0714E-06,-1.4845E-08,-4.8223E-09,9.2356E-07,-1.6267E-07,3.1354E-06,0,0,0,0,0,0,package://zbll/meshes/Link9.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbll/meshes/Link9.STL,,手指装配-3/手指第二指节0-1;手指装配-3/手指第一指节-1,坐标系9,基准轴9,J9,revolute,0.0023,0.030421,-0.002257,0,0,0,Link8,-1,0,0,0,0,-1.57,0,,,,,,,,
Link10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://zbll/meshes/Link10.STL,1,1,1,1,0,0,0,0,0,0,package://zbll/meshes/Link10.STL,,手指装配-4/手指第三指节0-1,坐标系10,基准轴10,J10,revolute,0.033081,0.13325,0.0012,0,0,0,base_link,1,0,0,0,0,-1.57,0,,,,,,,,
Link11,-9.8359E-05,0.029301,0.0075533,0,0,0,0.040846,3.0714E-06,-1.4845E-08,-4.8223E-09,9.2356E-07,-1.6267E-07,3.1354E-06,0,0,0,0,0,0,package://zbll/meshes/Link11.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://zbll/meshes/Link11.STL,,手指装配-4/手指第二指节0-1;手指装配-4/手指第一指节-1,坐标系11,基准轴11,J11,revolute,0.0023,0.030421,-0.002257,0,0,0,Link10,-1,0,0,0,0,-1.57,0,,,,,,,,
